distance_km,bandwidth_MBps,server_load,cache_hit_ratio,cpu_utilization,ram_utilization,request_size_MB,storage_tier,latency_ms,egress_cost_per_gb
1743,542,0.9,0.88,0.67,0.8,3846,HDD,62.71,0.0353
4007,742,0.88,0.94,0.72,0.68,2117,HDD,74.72,0.0351
5927,696,0.69,0.52,0.51,0.38,3537,SSD,122.76,0.0339
8263,913,0.76,0.72,0.47,0.63,4413,SSD,125.67,0.032
9207,593,0.43,0.92,0.79,0.47,4851,HDD,186.42,0.0312
3637,282,0.54,0.94,0.36,0.69,1783,NVMe,153.69,0.0247
4932,941,0.58,0.88,0.85,0.69,4476,NVMe,90.6,0.0253
3745,965,0.56,0.57,0.45,0.43,4648,HDD,83.27,0.0377
986,111,0.16,0.53,0.29,0.46,304,HDD,115.04,0.0336
4571,350,0.49,0.49,0.38,0.7,2516,SSD,168.53,0.0339
7590,252,0.17,0.73,0.26,0.49,3836,NVMe,325.69,0.0274
1482,244,0.48,0.7,0.28,0.58,1844,SSD,82.56,0.0301
291,557,0.7,0.53,0.51,0.84,2691,HDD,49.58,0.037
2347,117,0.46,0.84,0.64,0.65,4553,SSD,223.73,0.0274
4244,869,0.47,0.82,0.95,0.89,561,SSD,88.24,0.0283
9372,514,0.2,0.52,0.33,0.31,4261,HDD,215.29,0.0358
5886,166,0.59,0.86,0.48,0.64,2510,SSD,379.69,0.0278
6206,283,0.47,0.52,0.41,0.42,2554,SSD,264.69,0.0315
8626,818,0.27,0.46,0.69,0.53,755,SSD,143.78,0.0315
8885,818,0.53,0.69,0.88,0.46,3796,HDD,150.58,0.0341
8612,724,0.9,0.6,0.65,0.78,1195,SSD,172.41,0.0352
5130,769,0.21,0.68,0.27,0.86,4297,NVMe,99.83,0.0266
4289,316,0.29,0.5,0.7,0.48,3614,HDD,181.69,0.0371
2947,567,0.84,0.52,0.55,0.57,1976,NVMe,93.54,0.0334
9344,769,0.53,0.5,0.6,0.73,3218,HDD,166.46,0.0376
3522,598,0.87,0.62,0.91,0.35,1131,NVMe,99.41,0.0299
4505,324,0.7,0.51,0.78,0.33,4522,HDD,183.51,0.0382
1241,905,0.69,0.8,0.93,0.86,3048,NVMe,57.57,0.027
8959,534,0.94,0.53,0.63,0.84,1245,HDD,221.16,0.0374
9288,597,0.47,0.44,0.67,0.31,3573,SSD,201.19,0.0341
9809,411,0.76,0.91,0.91,0.48,2519,HDD,268.44,0.0363
8490,215,0.17,0.54,0.91,0.89,870,SSD,444.89,0.0298
1198,812,0.92,0.4,0.77,0.64,197,SSD,77.95,0.0358
8946,641,0.67,0.84,0.46,0.38,1216,HDD,162.77,0.0338
7935,560,0.53,0.51,0.33,0.32,1691,NVMe,170.21,0.0296
3036,464,0.43,0.83,0.65,0.4,4996,HDD,95.73,0.0324
8450,81,0.7,0.95,0.44,0.89,1024,SSD,1053.58,0.029
